cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,mean_completed_repair_attempts,mean_failed_completed_repairs,pooled_failure_fraction_completed_repairs,fixed_clock_collision_exposure,first_order_failure_probability,mean_initial_conflicts,mean_dispatches,pooled_dispatches_per_initial_conflict,mean_unresolved_initial_conflicts_no_dependency,pooled_unresolved_initial_conflict_fraction_no_dependency,seed_mean_over_five_unresolved_fraction,window_divided_by_minimum_attempt_slot,maximum_completed_attempts_per_window,maximum_dispatches_per_window_no_dependency,unobserved_tail_mean_upper_bound
1ebc171fac396282,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,16.06444475176324,0.25,2056.2489282256947,dispatch,context,0.25,1.0,8,256,81.5,24.533333333333335,0.3010224948875256,,,57.96666666666667,82.5,1.4232317423806784,1.0,0.017251293847038527,0.0,126.0385480176062,126,,not_identifiable_without_future_process_assumptions
ac07858dd809ab2a,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,32.12888950352648,0.5,2056.2489282256947,dispatch,context,0.25,1.0,8,256,49.666666666666664,21.6,0.43489932885906046,,,29.066666666666666,50.666666666666664,1.7431192660550459,1.0000000000000036,0.03440366972477076,0.001282051282051282,63.50585087242546,63,,not_identifiable_without_future_process_assumptions
e47eb358461537ed,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,64.25777900705296,1.0,2056.2489282256947,dispatch,context,0.25,1.0,8,256,27.833333333333332,17.4,0.6251497005988024,,,11.5,28.833333333333332,2.5072463768115942,1.0666666666666664,0.09275362318840577,0.013425925925925926,31.87598394917417,31,,not_identifiable_without_future_process_assumptions
5a43c475fe1a4b72,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,128.51555801410592,2.0,2056.2489282256947,dispatch,context,0.25,1.0,8,256,14.233333333333333,12.2,0.8571428571428571,,,3.033333333333333,15.233333333333333,5.021978021978022,1.0,0.32967032967032966,0.24722222222222223,15.968935792600986,15,,not_identifiable_without_future_process_assumptions
a2902ebbf655ad7a,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,257.03111602821184,4.0,2056.2489282256947,dispatch,context,0.25,1.0,8,256,6.8,6.666666666666667,0.9803921568627452,,,1.1333333333333333,7.8,6.882352941176471,1.0000000000000004,0.882352941176471,0.9,7.992226401879488,7,,not_identifiable_without_future_process_assumptions
fa4089d3c8bc0fba,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,0.0,0.0,2056.2489282256947,start,fixed,0.25,1.0,8,256,16.233333333333334,0.0,0.0,0.25,0.0038830210364065496,16.233333333333334,16.233333333333334,1.0,0.0,0.0,0.0,8224.995712902779,8224,8225,not_identifiable_without_future_process_assumptions
f70ec1e80987e228,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,16.06444475176324,0.25,2056.2489282256947,start,fixed,0.25,1.0,8,256,118.56666666666666,0.5666666666666667,0.004779308405960078,0.25,0.0038830210364065496,119.0,119.56666666666666,1.0047619047619047,1.0,0.008403361344537815,0.0,126.0385480176062,126,127,not_identifiable_without_future_process_assumptions
350876e5ac630b1c,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,32.12888950352648,0.5,2056.2489282256947,start,fixed,0.25,1.0,8,256,59.5,0.2,0.0033613445378151263,0.25,0.0038830210364065496,60.3,60.5,1.0033167495854063,1.0,0.01658374792703151,0.0,63.50585087242546,63,64,not_identifiable_without_future_process_assumptions
3db81cf87ea6d9cb,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,64.25777900705296,1.0,2056.2489282256947,start,fixed,0.25,1.0,8,256,29.633333333333333,0.3333333333333333,0.01124859392575928,0.25,0.0038830210364065496,30.3,30.633333333333333,1.011001100110011,1.0,0.033003300330033,0.0,31.87598394917417,31,32,not_identifiable_without_future_process_assumptions
4dab0b6f386e4f6f,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,128.51555801410592,2.0,2056.2489282256947,start,fixed,0.25,1.0,8,256,14.466666666666667,0.0,0.0,0.25,0.0038830210364065496,15.466666666666667,15.466666666666667,1.0,1.0,0.06465517241379311,0.0,15.968935792600986,15,16,not_identifiable_without_future_process_assumptions
