cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,pooled_dispatches_per_initial_conflict,dispatches_n,dispatches_mean,dispatches_ci95_low,dispatches_ci95_high,initial_conflicts_n,initial_conflicts_mean,initial_conflicts_ci95_low,initial_conflicts_ci95_high,ratio_ci95_low,ratio_ci95_high,ratio_interval_status
8de0e771553b9fe2,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,0.0,0.0,2056.2489282256947,dispatch,context,0.25,1.0,8,256,1.0,30,16.333333333333332,14.967192587876092,17.699474078790573,30,16.333333333333332,14.967192587876092,17.699474078790573,,,not_identifiable_from_aggregate_inputs
1ebc171fac396282,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,16.06444475176324,0.25,2056.2489282256947,dispatch,context,0.25,1.0,8,256,1.4232317423806784,30,82.5,80.88935295360965,84.11064704639035,30,57.96666666666667,56.48829230836123,59.445041024972106,,,not_identifiable_from_aggregate_inputs
ac07858dd809ab2a,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,32.12888950352648,0.5,2056.2489282256947,dispatch,context,0.25,1.0,8,256,1.7431192660550459,30,50.666666666666664,49.545514003101545,51.787819330231784,30,29.066666666666666,28.028964637220973,30.10436869611236,,,not_identifiable_from_aggregate_inputs
e47eb358461537ed,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,64.25777900705296,1.0,2056.2489282256947,dispatch,context,0.25,1.0,8,256,2.5072463768115942,30,28.833333333333332,28.168277578461513,29.49838908820515,30,11.5,9.590784357958459,13.409215642041541,,,not_identifiable_from_aggregate_inputs
5a43c475fe1a4b72,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,128.51555801410592,2.0,2056.2489282256947,dispatch,context,0.25,1.0,8,256,5.021978021978022,30,15.233333333333333,14.885711219394048,15.580955447272617,30,3.033333333333333,2.5779351285672027,3.4887315380994637,,,not_identifiable_from_aggregate_inputs
a2902ebbf655ad7a,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,257.03111602821184,4.0,2056.2489282256947,dispatch,context,0.25,1.0,8,256,6.882352941176471,30,7.8,7.626719017631551,7.973280982368449,30,1.1333333333333333,1.0096097506814614,1.2570569159852052,,,not_identifiable_from_aggregate_inputs
fa4089d3c8bc0fba,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,0.0,0.0,2056.2489282256947,start,fixed,0.25,1.0,8,256,1.0,30,16.233333333333334,14.862836072009905,17.603830594656763,30,16.233333333333334,14.862836072009905,17.603830594656763,,,not_identifiable_from_aggregate_inputs
f70ec1e80987e228,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,16.06444475176324,0.25,2056.2489282256947,start,fixed,0.25,1.0,8,256,1.0047619047619047,30,119.56666666666666,116.85653467966434,122.27679865366899,30,119,116.21067321598096,121.78932678401904,,,not_identifiable_from_aggregate_inputs
350876e5ac630b1c,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,32.12888950352648,0.5,2056.2489282256947,start,fixed,0.25,1.0,8,256,1.0033167495854063,30,60.5,59.14875468250729,61.85124531749271,30,60.3,58.94418744726237,61.65581255273762,,,not_identifiable_from_aggregate_inputs
3db81cf87ea6d9cb,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,64.25777900705296,1.0,2056.2489282256947,start,fixed,0.25,1.0,8,256,1.011001100110011,30,30.633333333333333,29.95252925610488,31.314137410561784,30,30.3,29.571164935171108,31.028835064828893,,,not_identifiable_from_aggregate_inputs
4dab0b6f386e4f6f,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,128.51555801410592,2.0,2056.2489282256947,start,fixed,0.25,1.0,8,256,1.0,30,15.466666666666667,15.131328877340454,15.80200445599288,30,15.466666666666667,15.131328877340454,15.80200445599288,,,not_identifiable_from_aggregate_inputs
c2e3fc9abe41e451,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,257.03111602821184,4.0,2056.2489282256947,start,fixed,0.25,1.0,8,256,1.0042735042735043,30,7.833333333333333,7.6683189951661115,7.998347671500555,30,7.8,7.626719017631551,7.973280982368449,,,not_identifiable_from_aggregate_inputs
3a615c6798a28356,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,0.0,0.0,2056.2489282256947,start,context,0.25,1.0,8,256,1.0,30,16.333333333333332,14.967192587876092,17.699474078790573,30,16.333333333333332,14.967192587876092,17.699474078790573,,,not_identifiable_from_aggregate_inputs
134e77f96118d1d6,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,16.06444475176324,0.25,2056.2489282256947,start,context,0.25,1.0,8,256,1.148294611962432,30,77.43333333333334,75.9336080762468,78.93305859041988,30,67.43333333333334,66.17714873113935,68.68951793552732,,,not_identifiable_from_aggregate_inputs
edb161cdaa135797,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,32.12888950352648,0.5,2056.2489282256947,start,context,0.25,1.0,8,256,1.1569433032046013,30,46.93333333333333,45.99861068919982,47.86805597746684,30,40.56666666666667,39.569101477562015,41.564231855771325,,,not_identifiable_from_aggregate_inputs
5d133770e224f260,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,64.25777900705296,1.0,2056.2489282256947,start,context,0.25,1.0,8,256,1.1473988439306357,30,26.466666666666665,25.89710387137735,27.03622946195598,30,23.066666666666666,22.42976054331591,23.70357279001742,,,not_identifiable_from_aggregate_inputs
495c0efea851462a,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,128.51555801410592,2.0,2056.2489282256947,start,context,0.25,1.0,8,256,1.148936170212766,30,14.4,14.053438035263103,14.746561964736898,30,12.533333333333333,11.987523856799324,13.079142809867342,,,not_identifiable_from_aggregate_inputs
